,Marca,Modelo,Descrição,Valor
0,DATREL,EXTENSOR,Barra p/ alinhar sub 50cm  ,84.94
1,DATREL,DA 4000,Regua de tomada padrão rack  4.000 W ind 127/220V,274.04
2,DATREL,DA 5000,Regua de tomada padrão rack  5.000 W ind 127/220V,294.5
3,DATREL,DA 8.150,"Caixa Passiva 8"" 150 W ",325.5
4,DATREL,MP 10.200,"Monitor passivo 10"" 200 W ",460.04
5,DATREL,GUITAR 30,"Cubo de Guitarra 8"" 30 W ",472.44
6,DATREL,SL 200,"Caixa Passiva 10"" 200W ",532.58
7,DATREL,PA 1.200,Amplificador de potenciatoca 4 AF 8” - SOW   ,571.64
8,DATREL,BAS60E,"Cubo Baixo 8"" - Estudo 8"" 60W ",573.5
9,DATREL,MP 12.250,"Monitor passivo 12"" 250 W ",590.86
10,DATREL,SW 300,"Caixa Sub Woofer passivo 12"" 300 W ",659.68
11,DATREL,AT 8.150B,"Caixa Ativa 8"" 150 W bluetooth",670.22
12,DATREL,PA 1.800,"Amplificador de potenciatoca 4 AF 10"" - 75W   ",678.9
13,DATREL,BAS60K,"Cubo Baixo 8"" - Kick back 8"" 60 W ",706.18
14,DATREL,HDSD 500,"Cabo Mult Uso - toca 2 Caixas 12""  250 W ",708.04
15,DATREL,CE 250,"Caixa Passiva 12"" 250W ",711.14
16,DATREL,MA 10.200,"Monitor ativo 10"" 200 W ",775.0
17,DATREL,HDSD 700,"Cabo Mult Uso - toca 2 Caixas 15""  350 W ",794.22
18,DATREL,AT8X2,"Caixa Ativa ( 4 ohms) 8"" 250 W bluetooth",828.32
19,DATREL,PA 3.000,Amplificador de potenciatoca 4 AF 12” - 100W   ,837.0
20,DATREL,AT 10.200,"Caixa Ativa 10"" 200W ",837.0
21,DATREL,DA 15.300,"Caixa Passiva 15"" 300 W ",838.86
22,DATREL,GUITAR 2X8,"Cubo de Guitarra 8""X2 100 W ",872.34
23,DATREL,BAS100,"Cubo Baixo 10"" 10"" 100W ",872.96
24,DATREL,PA 5.000,AmplifiCador de potencia toca 4 AF 12” - 150W   ,892.18
25,DATREL,GUITAR 1X12,"Cubo de Guitarra 12"" 150 W ",908.3
26,DATREL,MP 15.300,"Monitor passivo 15"" 300 W ",911.4
27,DATREL,MA 12.250,"Monitor ativo 12"" 250 W ",937.4399999999999
28,DATREL,AT 10.200 b,"Caixa Ativa 10"" 200W bluetooth",946.74
29,DATREL,KIT8-150BLU,"Caixa Ativa e Passiva 8"" 150 W bluetooth",995.72
30,DATREL,SW 400,"Caixa Sub Woofer passivo 15"" 400 W ",1009.36
31,DATREL,AT 12.250,"Caixa Ativa 12"" 250W ",1015.56
32,DATREL,BAS1X15,"Caixa Bass 1 AF 15 - 4 ohms 1x15"" 300 W ",1045.94
33,DATREL,DA 15.500,"Caixa Passiva 15"" 500 W ",1060.2
34,DATREL,PA 8.000,AmplifiCador de potencia toca 4 AF 12” - 200W   ,1067.02
35,DATREL,SWA 300,"Caixa Sub Woofer ativo 12"" 300 W ",1080.66
36,DATREL,BAS200,"Cubo Baixo 12"" 12"" 200W ",1086.24
37,DATREL,BAS400,Amplif. Baixo - 4 ohms  400 W ,1086.86
38,DATREL,AT 12.250 b,"Caixa Ativa 12"" 250W bluetooth",1088.72
39,DATREL,AT 15.300,"Caixa Ativa 15"" 300 W ",1174.28
40,DATREL,MA 15.300,"Monitor ativo 15"" 300 W ",1187.3
41,DATREL,KIT10-200N,"Caixa Ativa e Passiva 10"" 200W ",1220.78
42,DATREL,AT10X2,"Caixa Ativa ( 4 ohms) 10"" 300W bluetooth",1228.22
43,DATREL,KIT10-200MON,"Monitor ativo e passivo 10"" 200W ",1235.04
44,DATREL,PA 10.000,Amplificador de potenciatoca 4 AF 15” - 250W   ,1248.68
45,DATREL,KIT10-200BLU,"Caixa Ativa e Passiva 10"" 200W bluetooth",1277.2
46,DATREL,KIT10-200TBL,"Caixa Ativa e Passiva 10"" 200W bluetooth",1277.2
47,DATREL,AT 15.300 b,"Caixa Ativa 15"" 300 W bluetooth",1292.7
48,DATREL,BAS800,Amplif. Baixo - 2X8 ohms  800 W ,1324.32
49,DATREL,KIT10-200NT,"Caixa Ativa e Passiva 10"" 200W ",1369.58
50,DATREL,KIT10-200MT,"Monitor ativo e passivo 10"" 200W ",1379.5
51,DATREL,BAS300,"Cubo  de Baixo 15"" 15"" 300W ",1422.9
52,DATREL,KIT12-250N,"Caixa Ativa e Passiva 12"" 250 W ",1509.7
53,DATREL,AT 15.500,"Caixa Ativa 15"" 500 W ",1527.06
54,DATREL,KIT12-250MON,"Monitor ativo e passivo 12"" 250W ",1528.3
55,DATREL,BAS4X10,"Caixa Bass 4 AF 10 - 4 ohms 4x10"" 400 W ",1541.94
56,DATREL,KIT12-250BLU,"Caixa Ativa e Passiva 12"" 250 W bluetooth",1584.72
57,DATREL,SWA 400,"Caixa Sub Woofer ativo 15"" 400 W ",1617.58
58,DATREL,AT12X2,"Caixa Ativa ( 4 ohms) 12"" 400W bluetooth",1627.5
59,DATREL,KIT HDSDSOO,"Cabo M. Uso + 02 Caixas 12"" CE 250P  250 W ",1648.58
60,DATREL,AT 15.500 b,"Caixa Ativa 15"" 500 W bluetooth",1675.24
61,DATREL,KIT12-250NT,"Caixa Ativa e Passiva 12"" 250 W ",1726.7
62,DATREL,KIT12-250MT,"Monitor ativo e passivo 12"" 250W ",1734.14
63,DATREL,KITSWA12-300,"Sub Woofer ativo e passivo 12"" 300 W ",1740.34
64,DATREL,KIT12-250TBL,"Caixa Ativa e Passiva 12"" 250 W bluetooth",1799.86
65,DATREL,AT15X2,"Caixa Ativa ( 4 ohms) 15"" 500 W bluetooth",1807.3
66,DATREL,KIT15-300NT,"Caixa Ativa e Passiva 15"" 300 W ",2013.14
67,DATREL,KIT15-300MON,"Monitor ativo e passivo 15"" 300W ",2098.7
68,DATREL,KIT15-300BLU,"Caixa Ativa e Passiva 15"" 300 W bluetooth",2131.56
69,DATREL,KIT1X15,"Caixa Bass 1 AF 15 - 4 ohms + BAS 400 1x15"" 300 W ",2154.5
70,DATREL,KSWAVOX8.0,Kswa300 /Vox8.0 mixer ATIVO 500 W bluetooth,2161.94
71,DATREL,PA20.0,AmplifiCador de potencia toca 4 AF 18” - SOOW   ,2217.12
72,DATREL,KIT15-SOONT,"Caixa Ativa e Passiva 15"" 500 W ",2587.26
73,DATREL,KITSWA15-400,"Sub Woofer ativo e passivo 15"" 400 W ",2626.94
74,DATREL,KIT4X10,"Caixa Bass 4 AF 10 - 4 ohms + BAS 400 4x10"" 400 W ",2628.8
75,DATREL,KIT15-SOOBLU,"Caixa Ativa e Passiva 15"" 500 W bluetooth",2735.44
76,DATREL,KSWAVOX 12,kit swa300/vox4.0  COMPLETO ativo/pas. 500 W bluetooth,3393.26
77,DATREL,COMBO,Caixa Bass 1x15 + 4x10 + BAS 800  800 W ,3912.2
78,DATREL,KSWAVOX 15,kit swa400/vox4.0  COMPLETO ativo/pas. 600 W bluetooth,4584.28
79,DYLAN,CAP-902,CÁPSULA PARA MICROFONE DW-902 POWER,29.3
80,DYLAN,CAP-DLS8,CÁPSULA PARA MICROFONE DLS-8,33.92
81,DYLAN,FP-100,FONTE ALIMENTAÇÃO DW-602-UDX,34.15
82,DYLAN,FP-101,FONTE ALIMENTAÇÃO D-9500,42.3
83,DYLAN,GB-9500,GLOBO PARA MICROFONE D-9500,42.53
84,DYLAN,FP-102,FONTE ALIMENTAÇÃO DW-902,46.18
85,DYLAN,GB-8000S,GLOBO PARA MICROFONE D-8000,51.92
86,DYLAN,DE-115,EAR PHONE 1 DRIVE POR LADO CABO FIXO Caixa com 20 peças,61.0
87,DYLAN,CAP-602BK,COMBO (CÁPSULA + GLOBO) CÁPSULA PRETA PARA MICROFONE UDX-01 E 02,62.5
88,DYLAN,DLP-03,MICROFONE LAPELA LINHAS UDX e D,63.85
89,DYLAN,DH-03,MICROFONE HEADSET LINHAS UDX e D,65.41
