,Marca,Modelo,DESCRICAO,Valor,embedding_musical,categoria_musical,specs_musicais
0,MICHAEL,PELE - DMXHW01,"Pele Mesh Ultrafina 8"". Pack Master 1 unidade",33.59999999999999,CATEGORIA_MUSICAL: ACESSORIO_PERCUSSAO || CONTEXTO: acessorio instrumento percussao musical || MARCA: ECHAEL || MODELO: PELE - DMXHW01 || DESCRICAO_MUSICAL: PELE MESH ULTRAFINA 8 PACK MASTER 1 UNIDADE,ACESSORIO_PERCUSSAO,{}
1,MICHAEL,PELE - DMXHW02,"Pele Mesh Ultrafina 10"". Pack Master 1 unidade",39.9,CATEGORIA_MUSICAL: ACESSORIO_PERCUSSAO || CONTEXTO: acessorio instrumento percussao musical || MARCA: ECHAEL || MODELO: PELE - DMXHW02 || DESCRICAO_MUSICAL: PELE MESH ULTRAFINA 10 PACK MASTER 1 UNIDADE,ACESSORIO_PERCUSSAO,{}
2,MICHAEL,HARDWARE LANÇAMENTO - DMXHW05,"Clamp multiuso para prato de Hi-hat, caixa e tons. Pack Master 1 unidade",44.09999999999999,CATEGORIA_MUSICAL: INSTRUMENTO_PERCUSSAO_METAL || CONTEXTO: instrumento musical percussao metal orquestra || MARCA: ECHAEL || MODELO: HARDWAD ANÇAMENTO - DMXHW05 || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: CAMP MULTIUSO PARA PRATO DE HI-HAT CAIXA E TONS PACK MASTER 1 UNIDADE,INSTRUMENTO_PERCUSSAO_METAL,{'AFINACAO': ['E']}
3,MICHAEL,HARDWARE LANÇAMENTO - DMXHW10,Clamp para prato de ataque e condução de todas as baterias eletrônicas e para fixação do módulo House no modelo DMX250. Pack Master 1 unidade,44.09999999999999,CATEGORIA_MUSICAL: INSTRUMENTO_PERCUSSAO_METAL || CONTEXTO: instrumento musical percussao metal orquestra || MARCA: ECHAEL || MODELO: HARDWAD ANÇAMENTO - DMXHW10 || ESPECIFICACOES_MUSICAIS: AFINACAO: C E || DESCRICAO_MUSICAL: CAMP PARA PRATO DE ATAQUE E CONDUÇÃO DE TODAS AS BATERIAS ELETRÔNICAS E PARA FIXAÇÃO C MÓDULO HOUSE NO MODELO DMX250 PACK MASTER 1 UNIDADE,INSTRUMENTO_PERCUSSAO_METAL,"{'AFINACAO': ['C', 'E']}"
4,MICHAEL,HARDWARE LANÇAMENTO - DMXHW18,Pé de borracha para Pack Easy Flex modelo DMXHW12 e DMXHW15. Pack Master 1 unidade,44.09999999999999,CATEGORIA_MUSICAL: OUTROS || CONTEXTO: produto musical || MARCA: ECHAEL || MODELO: HARDWAD ANÇAMENTO - DMXHW18 || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: PÉ DE BORRACHA PARA PACK EASY FLEX MODELO DMXHW12 E DMXHW15 PACK MASTER 1 UNIDADE,OUTROS,{'AFINACAO': ['E']}
5,MICHAEL,PAD LANÇAMENTO - DMXPD03,Pad Super Grip 8” Single Zone. Pack Master 1 unidade,46.9,CATEGORIA_MUSICAL: OUTROS || CONTEXTO: produto musical || MARCA: ECHAEL || MODELO: PAD ANÇAMENTO - DMXPD03 || DESCRICAO_MUSICAL: PAD SUPER GRIP 8 BNGLE ZONE PACK MASTER 1 UNIDADE,OUTROS,{}
6,MICHAEL,Estante de Partitura - SAM01," Estante de partitura, dobrável com estrutura em metal com pintura eletrostática preta, regulagem de altura com as seguintes dimensões: 0,50m na sua altura mínima; 1,50m na sua altura máxima, prancheta em metal ou aço com pintura eletrostática preta e hastes para suporte das folhas, base em tripé. Bônus: Capa/bolsa protetora em nylon",56.0,CATEGORIA_MUSICAL: ACESSORIO_SOPRO || CONTEXTO: acessorio instrumento sopro musical || MARCA: ECHAEL || MODELO: ESTANTE DE PARTITURA - SAM01 || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: ESTANTE DE PARTITURA CBRÁVEL COM ESTRUTURA EM METAL COM PINTURA ELETROSTÁTICA PDTA DGUAGEM DE ALTURA COM AS SEGUINTES DIMENSÕES 0 50M NA SUA ALTURA MÍNIMA 1 50M NA SUA ALTURA MÁXIMA PRANCHETA EM METAL OU AÇO COM PINTURA ELETROSTÁTICA PDTA E HASTES PARA SUPORTE DAS FOLHAS BASE EM TRIPÉ BÔNUS CAPA BOLSA PROTETORA EM NYLON,ACESSORIO_SOPRO,{'AFINACAO': ['E']}
7,MICHAEL,HARDWARE LANÇAMENTO - DMXHW17,Haste cromada tipo girafa para prato de bateria eletrônica. Pack Master 1 unidade,77.69999999999999,CATEGORIA_MUSICAL: INSTRUMENTO_PERCUSSAO_METAL || CONTEXTO: instrumento musical percussao metal orquestra || MARCA: ECHAEL || MODELO: HARDWAD ANÇAMENTO - DMXHW17 || DESCRICAO_MUSICAL: HASTE CROMADA TIPO GIRAF PARA PRATO DE BATERIA ELETRÔNICA PACK MASTER 1 UNIDADE,INSTRUMENTO_PERCUSSAO_METAL,{}
8,MICHAEL,FONTE - DMXAD09,Fonte de alimentação 9V - DC - Bivolt para bateria eletrônica. Compatível com o módulo House. Pack Master 1 unidade,84.69999999999999,CATEGORIA_MUSICAL: OUTROS || CONTEXTO: produto musical || MARCA: ECHAEL || MODELO: FONTE - DMXAD09 || DESCRICAO_MUSICAL: FONTE DE ALIMENTAÇÃO 9V - DC - BIVOLT PARA BATERIA ELETRÔNICA COMPATÍVEL COM O MÓDULO HOUSE PACK MASTER 1 UNIDADE,OUTROS,{}
9,MICHAEL,CABO LANÇAMENTO - DMXCB02,Cabo medusa (multicabo) compatível com o Módulo House. Pack Master 1 unidade,88.19999999999999,CATEGORIA_MUSICAL: EQUIPAMENTO_AUDIO || CONTEXTO: equipamento som audio microfone cabo || MARCA: ECHAEL || MODELO: CABO ANÇAMENTO - DMXCB02 || DESCRICAO_MUSICAL: CABO MEDUSA (MULTICABO) COMPATÍVEL COM O MÓDULO HOUSE PACK MASTER 1 UNIDADE,EQUIPAMENTO_AUDIO,{}
