,Marca,Modelo,Descrição,Valor,texto_embedding_melhorado,categoria_identificada
0,DATREL,EXTENSOR,Barra p/ alinhar sub 50cm  ,84.94,CATEGORIA: OUTROS | MARCA: DATREL | MODELO: EXTENSOR | ESPECIFICACOES: DIMENSAO: 50 | DESCRICAO: Barra p/ alinhar sub 50cm  ,OUTROS
1,DATREL,DA 4000,Regua de tomada padrão rack  4.000 W ind 127/220V,274.04,CATEGORIA: OUTROS | MARCA: DATREL | MODELO: DA 4000 | ESPECIFICACOES: POTENCIA: 000 | VOLTAGEM: 220 127 | RECURSOS: RACK | DESCRICAO: Regua de tomada padrão rack  4.000 W ind 127/220V,OUTROS
2,DATREL,DA 5000,Regua de tomada padrão rack  5.000 W ind 127/220V,294.5,CATEGORIA: OUTROS | MARCA: DATREL | MODELO: DA 5000 | ESPECIFICACOES: POTENCIA: 000 | VOLTAGEM: 220 127 | RECURSOS: RACK | DESCRICAO: Regua de tomada padrão rack  5.000 W ind 127/220V,OUTROS
3,DATREL,DA 8.150,"Caixa Passiva 8"" 150 W ",325.5,"CATEGORIA: CAIXA_PASSIVA | MARCA: DATREL | MODELO: DA 8 150 | ESPECIFICACOES: POTENCIA: 150 | POLEGADAS: 8 | DESCRICAO: Caixa Passiva 8"" 150 W ",CAIXA_PASSIVA
4,DATREL,MP 10.200,"Monitor passivo 10"" 200 W ",460.04,"CATEGORIA: CAIXA_PASSIVA | MARCA: DATREL | MODELO: MP 10 200 | ESPECIFICACOES: POTENCIA: 200 | POLEGADAS: 10 | DESCRICAO: Monitor passivo 10"" 200 W ",CAIXA_PASSIVA
5,DATREL,GUITAR 30,"Cubo de Guitarra 8"" 30 W ",472.44,"CATEGORIA: CUBO_AMPLIFICADO | MARCA: DATREL | MODELO: GUITAR 30 | ESPECIFICACOES: POTENCIA: 30 | POLEGADAS: 8 | DESCRICAO: Cubo de Guitarra 8"" 30 W ",CUBO_AMPLIFICADO
6,DATREL,SL 200,"Caixa Passiva 10"" 200W ",532.58,"CATEGORIA: CAIXA_PASSIVA | MARCA: DATREL | MODELO: SL 200 | ESPECIFICACOES: POTENCIA: 200 | POLEGADAS: 10 | DESCRICAO: Caixa Passiva 10"" 200W ",CAIXA_PASSIVA
7,DATREL,PA 1.200,Amplificador de potenciatoca 4 AF 8” - SOW   ,571.64,CATEGORIA: AMPLIFICADOR | MARCA: DATREL | MODELO: PA 1 200 | ESPECIFICACOES: POTENCIA: 4 | AFINADORES: 4 | DESCRICAO: Amplificador de potencia 4 AF 8” - W   ,AMPLIFICADOR
8,DATREL,BAS60E,"Cubo Baixo 8"" - Estudo 8"" 60W ",573.5,"CATEGORIA: CUBO_AMPLIFICADO | MARCA: DATREL | MODELO: BAS60E | ESPECIFICACOES: POTENCIA: 60 | POLEGADAS: 8 | DESCRICAO: Cubo Baixo 8"" - Estudo 8"" 60W ",CUBO_AMPLIFICADO
9,DATREL,MP 12.250,"Monitor passivo 12"" 250 W ",590.86,"CATEGORIA: CAIXA_PASSIVA | MARCA: DATREL | MODELO: MP 12 250 | ESPECIFICACOES: POTENCIA: 250 | POLEGADAS: 12 | DESCRICAO: Monitor passivo 12"" 250 W ",CAIXA_PASSIVA
10,DATREL,SW 300,"Caixa Sub Woofer passivo 12"" 300 W ",659.68,"CATEGORIA: CAIXA_PASSIVA | MARCA: DATREL | MODELO: SW 300 | ESPECIFICACOES: POTENCIA: 300 | POLEGADAS: 12 | DESCRICAO: Caixa Sub Woofer passivo 12"" 300 W ",CAIXA_PASSIVA
11,DATREL,AT 8.150B,"Caixa Ativa 8"" 150 W bluetooth",670.22,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: AT 8 150B | ESPECIFICACOES: POTENCIA: 150 | POLEGADAS: 8 | BLUETOOTH: BLUETOOTH | RECURSOS: BLUETOOTH | DESCRICAO: Caixa Ativa 8"" 150 W bluetooth",CAIXA_ATIVA
12,DATREL,PA 1.800,"Amplificador de potenciatoca 4 AF 10"" - 75W   ",678.9,"CATEGORIA: AMPLIFICADOR | MARCA: DATREL | MODELO: PA 1 800 | ESPECIFICACOES: POTENCIA: 4 75 | POLEGADAS: 10 | AFINADORES: 4 | DESCRICAO: Amplificador de potencia 4 AF 10"" - 75W   ",AMPLIFICADOR
13,DATREL,BAS60K,"Cubo Baixo 8"" - Kick back 8"" 60 W ",706.18,"CATEGORIA: CUBO_AMPLIFICADO | MARCA: DATREL | MODELO: BAS60K | ESPECIFICACOES: POTENCIA: 60 | POLEGADAS: 8 | DESCRICAO: Cubo Baixo 8"" - Kick back 8"" 60 W ",CUBO_AMPLIFICADO
14,DATREL,HDSD 500,"Cabo Mult Uso - toca 2 Caixas 12""  250 W ",708.04,"CATEGORIA: CABO_CONECTOR | MARCA: DATREL | MODELO: HDSD 500 | ESPECIFICACOES: POTENCIA: 2 250 | POLEGADAS: 12 | DESCRICAO: Cabo Mult Uso - potencia 2 Caixas 12""  250 W ",CABO_CONECTOR
15,DATREL,CE 250,"Caixa Passiva 12"" 250W ",711.14,"CATEGORIA: CAIXA_PASSIVA | MARCA: DATREL | MODELO: CE 250 | ESPECIFICACOES: POTENCIA: 250 | POLEGADAS: 12 | DESCRICAO: Caixa Passiva 12"" 250W ",CAIXA_PASSIVA
16,DATREL,MA 10.200,"Monitor ativo 10"" 200 W ",775.0,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: MA 10 200 | ESPECIFICACOES: POTENCIA: 200 | POLEGADAS: 10 | DESCRICAO: Monitor ativo 10"" 200 W ",CAIXA_ATIVA
17,DATREL,HDSD 700,"Cabo Mult Uso - toca 2 Caixas 15""  350 W ",794.22,"CATEGORIA: CABO_CONECTOR | MARCA: DATREL | MODELO: HDSD 700 | ESPECIFICACOES: POTENCIA: 2 350 | POLEGADAS: 15 | DESCRICAO: Cabo Mult Uso - potencia 2 Caixas 15""  350 W ",CABO_CONECTOR
18,DATREL,AT8X2,"Caixa Ativa ( 4 ohms) 8"" 250 W bluetooth",828.32,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: AT8X2 | ESPECIFICACOES: POTENCIA: 250 | POLEGADAS: 8 | OHMS: 4 | BLUETOOTH: BLUETOOTH | RECURSOS: BLUETOOTH | DESCRICAO: Caixa Ativa ( 4 ohms) 8"" 250 W bluetooth",CAIXA_ATIVA
19,DATREL,PA 3.000,Amplificador de potenciatoca 4 AF 12” - 100W   ,837.0,CATEGORIA: AMPLIFICADOR | MARCA: DATREL | MODELO: PA 3 000 | ESPECIFICACOES: POTENCIA: 4 100 | AFINADORES: 4 | DESCRICAO: Amplificador de potencia 4 AF 12” - 100W   ,AMPLIFICADOR
20,DATREL,AT 10.200,"Caixa Ativa 10"" 200W ",837.0,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: AT 10 200 | ESPECIFICACOES: POTENCIA: 200 | POLEGADAS: 10 | DESCRICAO: Caixa Ativa 10"" 200W ",CAIXA_ATIVA
21,DATREL,DA 15.300,"Caixa Passiva 15"" 300 W ",838.86,"CATEGORIA: CAIXA_PASSIVA | MARCA: DATREL | MODELO: DA 15 300 | ESPECIFICACOES: POTENCIA: 300 | POLEGADAS: 15 | DESCRICAO: Caixa Passiva 15"" 300 W ",CAIXA_PASSIVA
22,DATREL,GUITAR 2X8,"Cubo de Guitarra 8""X2 100 W ",872.34,"CATEGORIA: CUBO_AMPLIFICADO | MARCA: DATREL | MODELO: GUITAR 2X8 | ESPECIFICACOES: POTENCIA: 100 | POLEGADAS: 8 | DESCRICAO: Cubo de Guitarra 8""X2 100 W ",CUBO_AMPLIFICADO
23,DATREL,BAS100,"Cubo Baixo 10"" 10"" 100W ",872.96,"CATEGORIA: CUBO_AMPLIFICADO | MARCA: DATREL | MODELO: BAS100 | ESPECIFICACOES: POTENCIA: 100 | POLEGADAS: 10 | DESCRICAO: Cubo Baixo 10"" 10"" 100W ",CUBO_AMPLIFICADO
